tienda,categoria,marca,nombre,tipo,descuento,precio_sin_desc,precio_con_desc,valoracion,num_valoraciones
druni,hombre,karl lagerfeld,hamburg,eau de toilette,68.0,95.0,29.95,4.65,3.0
druni,hombre,armani,recarga acqua di gio 150 ml,eau de parfum,44.0,135.0,74.95,4.65,3.0
druni,hombre,hugo boss,boss bottled,parfum,50.0,96.0,47.95,4.6,28.0
druni,hombre,kenzo,cofre kokeshi,eau de toilette,48.0,106.0,54.95,4.5,2.0
druni,hombre,bvlgari,man rain essence,eau de parfum,35.0,100.0,64.95,,
druni,hombre,yves saint laurent,recarga myslf,eau de parfum,40.0,130.0,77.95,,
druni,hombre,cerruti,estuche 1881 homme,eau de toilette,65.0,86.0,29.95,,
druni,hombre,givenchy,cofre gentleman society,eau de parfum,42.0,137.0,79.95,,
druni,hombre,loewe,estuche solo,eau de toilette,35.0,126.0,81.9,4.75,20.0
druni,hombre,prada,estuche luna rossa ocean,eau de toilette,42.0,121.0,69.95,3.0,2.0
druni,hombre,hugo boss,estuche boss bottled,eau de parfum,49.0,128.0,64.95,4.6,13.0
druni,hombre,dolce & gabbana,estuche d&g light blue pour homme,eau de toilette,43.0,148.0,84.95,3.9,13.0
druni,hombre,armani,cofre acqua di gio,eau de toilette,47.0,116.0,61.95,5.0,1.0
druni,hombre,tommy hilfiger,tommy impact spark e.t,eau de toilette,52.0,83.0,39.95,3.0,2.0
druni,hombre,tom ford,cofre ombre leather,eau de parfum,21.0,190.0,149.95,4.0,1.0
druni,hombre,paco rabanne,estuche invictus victory,eau de parfum,37.0,124.5,77.95,4.75,4.0
druni,hombre,hermès,estuche h24,eau de toilette,31.0,124.0,84.95,3.0,1.0
druni,hombre,dior,sauvage,eau de toilette,25.0,246.0,183.95,3.4,5.0
druni,hombre,dior,sauvage,parfum,25.0,337.0,251.95,5.0,1.0
druni,hombre,bvlgari,man terrae essence,eau de parfum,35.0,100.0,64.95,4.55,7.0
druni,hombre,el ganso,sunday mood,eau de toilette,45.0,69.0,37.95,,
druni,hombre,trussardi,uomo,eau de toilette,53.0,95.8,44.95,5.0,7.0
druni,hombre,cerruti,1881 silver,eau de toilette,40.0,58.0,34.95,4.55,8.0
druni,hombre,police,estuche to be good vibes man,eau de toilette,49.0,31.0,15.95,,
druni,hombre,paco rabanne,phantom refill,parfum,34.0,150.5,98.95,,
druni,hombre,f1 fragrances,precious mettle,eau de toilette,54.0,65.0,29.95,5.0,1.0
druni,hombre,issey miyake,fussion d' issey igo,eau de toilette,35.0,101.5,65.5,5.0,4.0
druni,hombre,pedro del hierro,l'essentiel,eau de toilette,40.0,58.0,34.95,,
druni,hombre,carolina herrera,recarga bad boy,eau de toilette,35.0,143.5,92.95,,
druni,hombre,el ganso,part time hero,eau de toilette,45.0,69.0,37.95,5.0,3.0
druni,hombre,trussardi,uomo the red,eau de toilette,48.0,95.8,49.95,3.5,2.0
druni,hombre,f1 fragrances,turn 1,eau de toilette,58.0,71.0,29.95,5.0,1.0
