tienda,categoria,marca,nombre,tipo,precio_sin_desc,descuento,precio_con_desc,valoracion,num_valoraciones
notino,hombre,n.c.p. olfactives,704 incense & musk,eau de parfum,31.5,0.0,31.5,,
notino,hombre,paco rabanne,invictus victory elixir,parfum,60.0,0.0,60.0,,
notino,hombre,tous,1920,eau de toilette,27.8,0.0,27.8,,
notino,hombre,jimmy choo,man aqua,eau de toilette,30.0,0.0,30.0,,
notino,hombre,bruno banani,magic man,eau de toilette,10.1,0.0,10.1,,
notino,hombre,baldessarini,baldessarini,eau de cologne,41.8,0.0,41.8,,
notino,hombre,kenzo,aqua kenzo pour homme,eau de toilette,34.3,0.0,34.3,,
notino,hombre,karl lagerfeld,bois d´ambre,eau de toilette,20.0,0.0,20.0,,
notino,hombre,montblanc,explorer ultra blue,eau de parfum,29.1,0.0,29.1,,
notino,hombre,viktor & rolf,spicebomb infrared,eau de toilette,78.3,0.0,78.3,,
notino,hombre,replay,essential for him,eau de toilette,6.6,0.0,6.6,,
notino,hombre,xerjoff,don,eau de parfum,225.4,0.0,225.4,,
notino,hombre,cristiano ronaldo,cr7 origins,eau de toilette,25.6,0.0,25.6,,
notino,hombre,armani,code,eau de toilette,76.9,0.0,76.9,,
notino,hombre,ralph lauren,polo green cologne intense,eau de parfum,54.0,0.0,54.0,,
notino,hombre,halloween,man x,eau de toilette,23.5,7.23,21.8,4.7,3.0
notino,hombre,salvatore ferragamo,acqua essenziale blu,eau de toilette,86.1,63.41,31.5,4.3,3.0
notino,hombre,jenny glow,white jasmin & mint,eau de parfum,23.0,26.52,16.9,4.5,2.0
notino,hombre,gucci,mémoire d'une odeur,eau de parfum,53.2,0.0,53.2,,
notino,hombre,sean john,i am king,eau de toilette,31.3,0.0,31.3,,
notino,hombre,the library of fragrance,pistachio ice cream,eau de cologne,17.0,0.0,17.0,,
notino,hombre,robert piguet,oud delice,eau de parfum,103.9,0.0,103.9,,
notino,hombre,versace,eros flame,eau de parfum,49.8,0.0,49.8,,
notino,hombre,bentley,for men intense,eau de parfum,29.5,0.0,29.5,,
notino,hombre,afnan,turathi blue homme,eau de parfum,36.0,0.0,36.0,,
